SendShipNO,NO,SendTime,Lon,Lat,SOG,COG,geometry
0,15,0,119.97966175512296,34.98902122939131,14.672560946633357,32.887937536144136,POINT (119.97966175512296 34.98902122939131)
0,21,0,120.05357415678212,34.97000732337895,8.656024169498885,219.2375959889178,POINT (120.05357415678212 34.97000732337895)
0,25,0,119.99453903732338,34.92237831124709,5.121787330677441,358.8792718173616,POINT (119.99453903732338 34.92237831124709)
0,28,0,120.00858079414907,34.968816161067544,18.328107342127193,96.6681696632412,POINT (120.00858079414907 34.968816161067544)
0,49,0,119.99568854041411,34.94909422352441,16.572465504668102,265.8148794956483,POINT (119.99568854041411 34.94909422352441)
0,55,0,119.97230372060726,34.84951473374526,12.724627669000792,250.7195932906641,POINT (119.97230372060726 34.84951473374526)
0,66,0,120.03515266227474,34.854642569076525,17.75592155087044,8.629569864904624,POINT (120.03515266227474 34.854642569076525)
0,74,0,119.97437654857913,34.96080127809393,20.0,45.77240693039141,POINT (119.97437654857913 34.96080127809393)
0,75,0,119.9128473944081,34.91063416955874,8.148773706149465,318.28389605243774,POINT (119.9128473944081 34.91063416955874)
0,89,0,120.04491198684367,34.98546896753873,16.01689010188416,292.6899040653489,POINT (120.04491198684367 34.98546896753873)
0,91,0,120.02680204227295,34.97752986517648,8.579413490509697,98.23112603439401,POINT (120.02680204227295 34.97752986517648)
0,92,0,120.02345200356565,34.855700696568704,16.375955030163187,53.522318165221115,POINT (120.02345200356565 34.855700696568704)
0,98,0,120.04790717993836,34.967957725618774,6.126742886677248,76.48901943515014,POINT (120.04790717993836 34.967957725618774)
0,108,0,119.90613300938749,34.887595794470386,11.283717630680886,75.3249183456231,POINT (119.90613300938749 34.887595794470386)
0,7,0,120.00520795796612,34.85299730832305,20.0,172.04851449427252,POINT (120.00520795796612 34.85299730832305)
1,35,0,120.16412684585744,34.82294662674097,14.611153658330846,254.82865158062816,POINT (120.16412684585744 34.82294662674097)
1,37,0,120.17910008752129,34.83341152210111,10.905069631688274,126.27045504602421,POINT (120.17910008752129 34.83341152210111)
1,39,0,120.11106571442357,34.91249536904685,10.540922240291216,154.77152311405393,POINT (120.11106571442357 34.91249536904685)
1,50,0,120.07573670912195,34.915391049852765,20.0,306.2319441202053,POINT (120.07573670912195 34.915391049852765)
1,53,0,120.16489853849662,34.896389170888014,19.54327225907645,321.3589493425018,POINT (120.16489853849662 34.896389170888014)
1,66,0,120.06769369874833,34.83896604117039,18.603341425723304,301.06478997112265,POINT (120.06769369874833 34.83896604117039)
1,78,0,120.19483136466744,34.83189054804616,16.816181789050237,129.51939670736255,POINT (120.19483136466744 34.83189054804616)
1,92,0,120.05701786169308,34.839804654012006,20.0,155.93051500611085,POINT (120.05701786169308 34.839804654012006)
1,101,0,120.08541693714736,34.77126028028844,10.48394266379216,196.44187147129233,POINT (120.08541693714736 34.77126028028844)
1,107,0,120.05344071342856,34.81587139102909,5.472532940467275,195.42920842176198,POINT (120.05344071342856 34.81587139102909)
1,3,0,120.15710592602379,34.875805630444184,6.970137007172831,294.4484597491853,POINT (120.15710592602379 34.875805630444184)
1,8,0,120.14704848975987,34.86379642772743,8.412370427567113,324.68702218006956,POINT (120.14704848975987 34.86379642772743)
2,15,0,119.99702027522277,35.02294507957833,13.259719907941886,341.0363328459289,POINT (119.99702027522277 35.02294507957833)
2,19,0,119.99421352971126,35.033117135962655,14.597039172112714,181.674101050123,POINT (119.99421352971126 35.033117135962655)
2,22,0,120.02779697455834,35.03933390889875,20.0,348.2832489496955,POINT (120.02779697455834 35.03933390889875)
2,23,0,120.0850247980721,35.048439001439355,6.120682949332291,353.05383819886106,POINT (120.0850247980721 35.048439001439355)
2,27,0,120.13195447911652,35.05200231759209,10.354602631582447,231.0510519918875,POINT (120.13195447911652 35.05200231759209)
2,28,0,120.02604770458996,35.00276994387613,20.0,21.665436719392055,POINT (120.02604770458996 35.00276994387613)
2,31,0,119.99642443707756,35.10637954355075,14.70254646051679,48.15303178369527,POINT (119.99642443707756 35.10637954355075)
2,33,0,120.07853360819833,35.051248947136656,7.722137298098386,277.3156119898167,POINT (120.07853360819833 35.051248947136656)
2,41,0,120.11092296235736,35.11702926175745,18.132830548235923,349.3599871569454,POINT (120.11092296235736 35.11702926175745)
2,42,0,120.14490322362039,35.06102266201432,8.800719743068504,222.1032849288743,POINT (120.14490322362039 35.06102266201432)
2,77,0,120.12148252710224,35.03039017696965,3.5447786846881972,63.299235008487116,POINT (120.12148252710224 35.03039017696965)
2,89,0,120.06217056528173,35.018413171160766,13.069139104079351,234.61524509183667,POINT (120.06217056528173 35.018413171160766)
2,95,0,120.02885022768159,35.10563336220401,12.075235280069226,36.15296031222556,POINT (120.02885022768159 35.10563336220401)
2,98,0,120.06473832011737,35.001365147305584,6.715527214043555,51.07648740864067,POINT (120.06473832011737 35.001365147305584)
3,21,0,120.09495061510901,34.96368252918887,5.26895628863842,210.10161096143048,POINT (120.09495061510901 34.96368252918887)
3,35,0,120.17140605119316,34.83289028485989,9.112272230673895,291.8963947663661,POINT (120.17140605119316 34.83289028485989)
3,39,0,120.1191559142465,34.92223281874566,14.777468597699272,210.2324217649477,POINT (120.1191559142465 34.92223281874566)
3,53,0,120.17303072364913,34.90504698545336,16.575528538945957,5.264051275202974,POINT (120.17303072364913 34.90504698545336)
3,78,0,120.20266149671217,34.84144781973121,20.0,179.8039039132628,POINT (120.20266149671217 34.84144781973121)
3,1,0,120.13530550566699,34.85386746994818,8.458512442061691,136.3711422066258,POINT (120.13530550566699 34.85386746994818)
3,8,0,120.15528627838677,34.87315979706905,13.088778430289679,229.2598986829164,POINT (120.15528627838677 34.87315979706905)
4,30,0,119.88977473851753,35.25742421052768,18.849573079857244,256.51300131709394,POINT (119.88977473851753 35.25742421052768)
4,31,0,119.95025855557623,35.13125371831521,15.953487838966495,304.66270234970614,POINT (119.95025855557623 35.13125371831521)
4,32,0,119.82970420821418,35.164320833549645,8.846151760787894,273.77101085042426,POINT (119.82970420821418 35.164320833549645)
4,40,0,119.83296311283222,35.139187061876825,19.678982664741874,160.13128027973016,POINT (119.83296311283222 35.139187061876825)
4,69,0,119.80401640638291,35.15570499208089,6.457862198958988,206.26128282342208,POINT (119.80401640638291 35.15570499208089)
4,76,0,119.94685380710344,35.18777607339935,3.7162749572382463,47.22690348289633,POINT (119.94685380710344 35.18777607339935)
4,83,0,119.84167866536269,35.26313919967565,3.3732899467869597,113.63027164184493,POINT (119.84167866536269 35.26313919967565)
4,84,0,119.85827933240171,35.161025055280845,8.230437902353449,124.14523351458661,POINT (119.85827933240171 35.161025055280845)
4,96,0,119.85456846968405,35.16188736983332,11.039917490789106,200.3398319970927,POINT (119.85456846968405 35.16188736983332)
4,105,0,119.92520234383794,35.14899260310093,5.314277452370339,306.65066157883837,POINT (119.92520234383794 35.14899260310093)
4,106,0,119.87043098553227,35.14700033239752,6.185779264493769,94.12931440745658,POINT (119.87043098553227 35.14700033239752)
5,12,0,119.84331337286892,34.93382554831211,13.228394769710427,181.464607718622,POINT (119.84331337286892 34.93382554831211)
5,18,0,119.78872116199808,35.03726287799283,15.35236675159289,27.39926988520886,POINT (119.78872116199808 35.03726287799283)
5,59,0,119.86081914683639,35.00361311755647,18.66643830281609,87.37858517427792,POINT (119.86081914683639 35.00361311755647)
5,102,0,119.86492456743535,34.93424679439099,15.204287345424211,315.83361557326833,POINT (119.86492456743535 34.93424679439099)
6,51,0,119.86871205801056,34.85357039072279,10.361682149157378,142.0066780813571,POINT (119.86871205801056 34.85357039072279)
6,55,0,119.9632436634528,34.82290469056597,7.601316348429225,215.8470396670451,POINT (119.9632436634528 34.82290469056597)
6,82,0,119.88280564504296,34.85458568818847,3.4598717522626767,81.67814414771254,POINT (119.88280564504296 34.85458568818847)
6,86,0,119.86811028179129,34.83745179550764,11.358809251491856,45.11874013404791,POINT (119.86811028179129 34.83745179550764)
6,99,0,119.89736444067655,34.7572061322527,12.04397972000328,6.1707879937055345,POINT (119.89736444067655 34.7572061322527)
6,107,0,120.01297116304058,34.80465104909017,5.086319871943966,202.22166466487198,POINT (120.01297116304058 34.80465104909017)
6,108,0,119.89796211801062,34.8605985600182,7.857040509465441,189.0029959731694,POINT (119.89796211801062 34.8605985600182)
6,7,0,119.99620194472907,34.82649084348264,20.0,143.0728527654753,POINT (119.99620194472907 34.82649084348264)
7,39,0,120.08653447754578,34.909096166709745,15.115316890483673,75.19511228414541,POINT (120.08653447754578 34.909096166709745)
7,55,0,119.98011607355642,34.830546021582364,6.968700047540068,222.38854996582128,POINT (119.98011607355642 34.830546021582364)
7,66,0,120.04338186987161,34.83545070815661,14.857174380006327,285.99447774461464,POINT (120.04338186987161 34.83545070815661)
7,92,0,120.03198724148247,34.83625467808882,20.0,180.88891653021957,POINT (120.03198724148247 34.83625467808882)
7,100,0,120.00864638979574,34.81026876559402,2.0,261.86965484232485,POINT (120.00864638979574 34.81026876559402)
7,6,0,119.95184024375884,34.81168352961476,19.67343460869131,296.9881833988319,POINT (119.95184024375884 34.81168352961476)
8,35,0,120.1681267895711,34.82928909373382,5.345877279839119,13.905073822727047,POINT (120.1681267895711 34.82928909373382)
8,37,0,120.18392558246698,34.83902266922923,16.683129750460203,166.53226383274915,POINT (120.18392558246698 34.83902266922923)
8,53,0,120.17015247188509,34.902071487658446,20.0,48.0708971885947,POINT (120.17015247188509 34.902071487658446)
8,78,0,120.20011506734434,34.837687768319384,18.270068016257117,190.8706234168185,POINT (120.20011506734434 34.837687768319384)
8,1,0,120.13225541035382,34.85036242781818,11.029341239701235,120.09274875717573,POINT (120.13225541035382 34.85036242781818)
8,3,0,120.16258692452088,34.881994670689224,10.423191804602801,29.31153294368744,POINT (120.16258692452088 34.881994670689224)
9,13,0,120.2433208283827,35.00651099056394,16.820845485956525,327.72445163727866,POINT (120.2433208283827 35.00651099056394)
9,24,0,120.22791852207071,35.04663971575477,10.2178337958546,188.9819209017768,POINT (120.22791852207071 35.04663971575477)
9,26,0,120.24995497278516,34.986281166156026,14.034559193187357,7.935384766948459,POINT (120.24995497278516 34.986281166156026)
9,41,0,120.13757185534725,35.11318901438224,20.0,44.62462713743827,POINT (120.13757185534725 35.11318901438224)
9,43,0,120.2397155179695,35.04274271453173,20.0,111.16867694772564,POINT (120.2397155179695 35.04274271453173)
9,45,0,120.20754072763063,35.07621384761995,4.690065040284641,154.1101246736584,POINT (120.20754072763063 35.07621384761995)
9,77,0,120.14751793529614,35.02628015767279,7.692881926378572,174.4883910906902,POINT (120.14751793529614 35.02628015767279)
9,85,0,120.20353450481238,35.02335920740037,18.631893365751843,259.5564935820769,POINT (120.20353450481238 35.02335920740037)
9,87,0,120.26869310163083,35.06577433139263,10.516972296754723,324.91239046774024,POINT (120.26869310163083 35.06577433139263)
0,19,5,119.97609431828815,34.99939007621672,8.202816681553369,215.17078148930582,POINT (119.97609431828815 34.99939007621672)
0,25,5,119.99451301211776,34.92236298204753,13.637340783782127,43.56479583090609,POINT (119.99451301211776 34.92236298204753)
0,28,5,120.00871325724448,34.96943005249264,15.79586828851102,332.62968662714746,POINT (120.00871325724448 34.96943005249264)
0,49,5,119.99646385540801,34.94942402028236,9.915594410219352,313.38655624173987,POINT (119.99646385540801 34.94942402028236)
0,50,5,120.0431616285949,34.9319134665808,20.0,3.1144986752392363,POINT (120.0431616285949 34.9319134665808)
0,74,5,119.97391139247068,34.96095545865876,18.1724638679732,343.2350654501343,POINT (119.97391139247068 34.96095545865876)
0,89,5,120.04447471643786,34.98446778931916,20.0,278.5466502228452,POINT (120.04447471643786 34.98446778931916)
0,91,5,120.02687305202558,34.977457303132496,7.185727019272344,244.57392227020023,POINT (120.02687305202558 34.977457303132496)
0,92,5,120.02393814415869,34.85532246868813,14.85777574759819,14.02305162980484,POINT (120.02393814415869 34.85532246868813)
0,98,5,120.04776600319697,34.96787054280659,5.4220694173914605,210.2154768245024,POINT (120.04776600319697 34.96787054280659)
0,108,5,119.90619253718667,34.887311622471195,3.3222061501341407,232.42561670790315,POINT (119.90619253718667 34.887311622471195)
0,7,5,120.00503427515184,34.85303737525158,12.224702748048447,128.02356725168656,POINT (120.00503427515184 34.85303737525158)
1,35,5,120.16343803390302,34.82397605123533,14.454337299183509,31.864328320350012,POINT (120.16343803390302 34.82397605123533)
1,37,5,120.17855634785462,34.832978521092194,8.824500426133472,258.62518159759077,POINT (120.17855634785462 34.832978521092194)
1,39,5,120.11183525126113,34.91234343967478,11.730635571715641,168.0811178215444,POINT (120.11183525126113 34.91234343967478)
1,50,5,120.07566100946948,34.91613179226787,14.304510348636747,46.572180996519265,POINT (120.07566100946948 34.91613179226787)
1,53,5,120.16569120789954,34.896287498868865,20.0,306.36582424707154,POINT (120.16569120789954 34.896287498868865)
1,66,5,120.06821929987765,34.83962497391056,20.0,248.88795750966466,POINT (120.06821929987765 34.83962497391056)
1,78,5,120.19564693236705,34.83172611702124,19.39516835335737,221.16067836082374,POINT (120.19564693236705 34.83172611702124)
1,92,5,120.05752204355859,34.84007220631305,20.0,51.875760237538465,POINT (120.05752204355859 34.84007220631305)
1,101,5,120.08560623821514,34.771141652667254,10.701083811478808,173.39780102360572,POINT (120.08560623821514 34.771141652667254)
1,107,5,120.05387650324904,34.81633924548474,9.338110805105874,281.03511990969173,POINT (120.05387650324904 34.81633924548474)
2,15,5,119.99706132214249,35.02287842353259,15.770496274211162,47.72802639296583,POINT (119.99706132214249 35.02287842353259)
2,19,5,119.99450834227177,35.033043688302826,10.750961058803806,265.3256025705417,POINT (119.99450834227177 35.033043688302826)
2,22,5,120.02752101650037,35.03915944718979,15.648262641698595,326.8034917021604,POINT (120.02752101650037 35.03915944718979)
